,The following questions assess your 'Aesthetic Sensitivity' which captures your aesthetic awareness and appreciation. [I seem to be aware of subtleties in my environment],"The following questions assess your 'Aesthetic Sensitivity' which captures your aesthetic awareness and appreciation. [I find myself needing to withdraw during busy days, into bed or into a darkened room or any place where I can have some privacy and relief from stimulation]","The following questions assess your 'Aesthetic Sensitivity' which captures your aesthetic awareness and appreciation. [I have a rich, complex inner life]",The following questions assess your 'Aesthetic Sensitivity' which captures your aesthetic awareness and appreciation. [I am deeply moved by the arts or music],The following questions assess your 'Aesthetic Sensitivity' which captures your aesthetic awareness and appreciation. [I am conscientious],The following questions assess your 'Aesthetic Sensitivity' which captures your aesthetic awareness and appreciation. [When people are uncomfortable in a physical environment I tend to know what needs to be done to make it more comfortable (like changing the lighting or the seating)],"The following questions assess your 'Aesthetic Sensitivity' which captures your aesthetic awareness and appreciation. [I notice and enjoy delicate or fine scents, tastes, sounds, works of art]",Total score
p1,4,5,3,2,3,2,2,21
p2,4,2,4,4,4,3,2,23
p3,3,2,4,5,4,4,5,27
p4,4,4,4,4,4,3,4,27
p5,4,4,3,4,3,3,4,25
p6,3,2,4,4,3,4,4,24
p5,4,1,5,4,5,5,4,28
p8,3,5,4,3,4,4,5,28
p9,5,5,5,5,5,4,5,34
p10,3,1,3,5,3,5,5,25
p11,3,2,3,3,3,2,4,20
p12,4,3,2,3,3,2,3,20
p13,4,2,5,5,4,4,5,29
p14,3,4,4,4,3,3,4,25
p15,4,5,5,5,4,4,5,32
p16,4,3,3,3,4,5,5,27
p15,3,2,2,4,3,1,4,19
p18,5,5,5,5,4,4,5,33
p19,5,1,4,4,5,5,3,27
p20,4,5,3,5,4,5,5,31
p21,4,3,4,4,4,4,4,27
p22,4,5,5,2,4,2,2,24
p23,4,2,5,4,3,4,4,26
p24,4,5,4,5,5,3,5,31
p25,4,1,4,5,2,1,4,21
p26,4,5,3,3,2,3,3,23
p25,3,4,4,3,4,2,2,22
p28,3,5,4,4,4,3,3,26
p29,3,5,4,5,4,3,4,28
p30,2,5,3,3,5,1,2,21
p31,4,3,3,4,4,3,5,26
p32,4,2,4,3,4,4,4,25
p33,3,4,3,4,5,1,3,23
p34,4,3,4,4,3,4,4,26
p35,1,3,3,2,3,2,3,17
p36,4,4,3,4,4,4,4,27
p35,5,5,3,4,3,4,5,29
p38,5,5,5,5,5,4,5,34
p39,5,2,4,3,4,4,4,26
p40,3,4,4,3,3,4,3,24
p41,5,4,4,5,3,5,3,29
p42,2,1,2,1,2,1,2,11
p43,3,4,2,5,4,4,5,27
p44,4,4,3,4,4,2,4,25
p45,3,3,3,4,3,4,4,24
p46,3,3,4,5,3,4,4,26
p45,5,5,2,5,4,4,3,28
p48,2,5,3,3,5,3,2,23
p49,4,3,4,3,4,4,4,26
p50,4,5,4,5,5,2,5,30
p51,5,5,1,1,2,1,1,16
p52,3,3,4,5,3,3,3,24
p53,4,3,5,3,5,4,3,27
p54,3,1,2,2,2,4,3,17
p55,3,4,4,5,5,3,4,28
p56,4,3,5,5,5,4,4,30
p55,4,5,2,4,5,5,4,29
p58,4,3,5,5,5,5,5,32
p59,3,4,3,3,3,3,3,22
p60,4,2,4,4,3,4,5,26
p61,3,4,4,4,5,5,4,29
p62,4,3,3,4,4,4,4,26
p63,5,3,5,5,3,5,3,29
p64,4,4,3,5,5,3,4,28
p65,3,4,3,3,3,4,4,24
p66,3,5,5,5,3,2,2,25
p65,4,4,1,1,2,3,2,17
p68,3,1,3,4,4,4,5,24
p69,3,4,4,3,3,4,4,25
p50,4,4,4,4,3,4,4,27
p51,2,4,4,3,5,3,3,24
p52,3,3,1,3,1,1,3,15
p53,4,4,5,5,4,4,4,30
p54,4,3,3,4,4,5,3,26
p55,4,4,4,3,4,5,4,28
p56,5,5,4,4,4,5,4,31
p55,4,3,2,4,3,1,3,20
p58,3,4,3,3,3,4,3,23
p59,5,5,4,5,3,5,5,32
p80,4,2,4,3,3,4,5,25
p81,1,1,4,3,4,1,3,17
p82,4,4,3,4,4,4,4,27
p83,4,2,2,2,3,3,4,20
p84,3,2,5,5,5,4,4,28
p85,5,5,5,3,3,2,1,24
p86,5,1,1,4,2,1,1,15
p85,5,4,5,5,4,4,4,31
p88,4,3,4,5,5,5,4,30
p89,5,4,2,5,5,4,5,30
p90,4,5,3,4,3,4,5,28
p91,4,4,4,5,5,4,5,31
p92,5,3,2,4,3,4,4,25
p93,4,5,5,5,4,4,5,32
p94,3,2,3,2,2,1,2,15
p95,3,5,4,4,3,5,3,27
p96,4,4,5,3,3,4,5,28
p95,1,2,2,3,2,2,2,14
p98,4,5,4,5,4,3,4,29
p99,3,3,2,3,2,3,2,18
p100,2,2,4,4,4,5,5,26
p101,5,2,5,5,5,5,5,32
p102,4,3,3,4,5,4,4,27
p103,3,4,3,3,3,3,3,22
p104,2,1,1,1,1,1,1,8
p105,3,3,3,3,3,3,3,21
p106,4,5,3,4,4,4,4,28
p105,2,5,4,4,2,3,3,23
p108,4,1,2,4,3,4,4,22
p109,3,4,4,4,3,5,4,27
p110,3,4,3,4,4,3,4,25
p111,1,5,5,1,1,3,3,19
p112,4,5,2,5,2,4,5,27
p113,3,5,2,2,3,3,3,21
p114,5,5,5,4,3,1,1,24
p115,3,3,2,2,2,2,2,16
p116,1,2,1,4,1,3,1,13
p115,4,5,2,3,4,1,3,22
p118,4,4,3,4,3,3,4,25
p119,4,4,5,4,4,5,3,29
p120,3,4,2,5,4,4,4,26
p121,3,4,4,3,3,2,2,21
p122,5,5,5,5,5,4,5,34
p123,4,4,4,4,4,3,3,26
p124,4,2,4,4,4,4,5,27
p125,2,4,4,3,4,2,4,23
p126,3,1,1,2,4,3,4,18
p127,5,5,3,4,5,2,4,28
p128,3,4,3,3,3,4,3,23
p129,5,5,1,4,4,4,4,27
p130,4,3,2,2,3,4,2,20
p131,3,4,4,4,3,4,5,27
p132,2,2,2,3,3,3,2,17
p133,4,4,3,4,3,2,4,20
p134,2,1,5,5,5,5,5,28
p135,2,2,4,4,4,4,4,24
p136,3,3,3,3,3,3,3,21
p137,4,2,4,3,3,3,4,23
p138,3,3,4,4,3,4,4,25
p139,3,4,3,4,3,4,5,26
p140,3,3,3,4,3,4,4,24
p141,4,4,3,3,3,3,4,24
p142,3,2,1,3,2,3,3,17
p143,4,4,4,5,5,4,5,31
p144,3,5,4,4,3,3,3,25
p145,4,2,3,2,3,2,1,17
p146,3,3,3,3,3,3,3,21
p147,4,5,2,1,4,2,3,21
p148,3,3,3,5,3,4,5,26
p149,3,4,4,5,4,5,5,30
p150,2,4,4,5,4,3,4,26
p151,4,3,4,4,4,4,4,27
p152,3,4,3,4,3,4,4,25
p153,3,3,2,4,2,2,2,18
p154,2,3,3,2,3,3,3,19
p155,4,3,4,4,5,4,5,29
p156,5,1,1,2,5,5,5,24
p157,4,3,3,4,3,4,4,25
p158,5,4,3,3,4,4,5,28
p159,4,4,3,5,4,5,4,29
p160,3,4,2,3,3,2,3,20
p161,4,3,5,4,4,3,4,27
p162,5,2,4,5,5,5,5,31
p163,4,4,5,5,5,5,4,32
p164,5,5,5,5,4,5,5,34
p165,4,4,3,3,4,4,4,26
p166,3,5,3,4,4,3,3,25
p167,3,2,3,2,3,4,2,19
p168,4,4,5,2,3,3,4,25
p169,4,5,5,3,4,4,5,30
p170,5,5,5,5,5,5,5,35
p171,5,5,5,5,3,4,5,32
p172,4,2,2,4,4,4,4,24
p173,3,4,3,5,5,3,4,27
p174,4,4,5,4,4,5,5,31
p175,3,4,2,3,3,2,4,21
p176,2,4,2,5,3,2,4,22
p177,4,4,2,3,2,4,3,22
p178,5,5,5,5,4,3,4,31
p179,4,4,3,5,5,4,5,30
p180,4,4,4,5,3,3,4,27
p181,5,4,4,4,5,5,5,32
p182,3,4,2,3,2,4,4,22
